      58
    A 3
    B 3
    C 4
    D 29
    E 76
    F 1
    G 5
    H 4
    I 6
    J 14
    K 2
    L 1
    M 6
    P 2
    R 2
    S 6
    U 1
    V 7
    a 304
    b 8
    c 1
    d 16
    e 24
    f 24
    g 1
    h 22
    i 53
    j 4
    k 13
    l 4
    m 47
    n 9
    o 86
    p 15
    r 7
    s 30
    t 38
    u 7
    v 10
Kar a 9
Kar e 1
Kar i 2
Kar n 1
Kar p 2
Kar t 1
Kas a 2
Kas y 1
Kau k 4
Kaw a 1
Kaz a 2
Kbe n 9
Kel a 1
Kel l 1
Kem i 10
Ken d 1
Ker n 2
Ker r 1
Key   1
Key s 2
Kha d 8
Kha r 3
Kha t 1
Kho d 4
Kho r 1
KiM o 1
Kie v 3
Kim o 3
Kin a 56
Kin e 1
Kin g 5
Kip l 1
Kis s 3
Kla n 3
Kla r 1
Kla s 1
Kli m 6
Kli n 9
Klo n 2
Klu t 1
Koa l 3
Koc h 2
Kod i 2
Kom b 1
Kom i 7
Kom m 1793
Kom p 2
Kon d 2
Kon f 2
Kon g 81
Kon k 13
Kon s 50
Kon t 25
Koo l 21
Koo r 4
Kop p 2
Kor a 1
Kor e 4
Kor r 1
Kor s 4
Kor t 5
Kos o 16
Kov a 2
Kra k 1
Kra v 7
Kre   1
Kre a 4
Kre d 11
Kre h 1
Kre m 3
Kre t 1
Kri g 2
Kri m 1
Kri s 49
Kri t 4
Krm n 6
Kro a 115
Kro e 1
Kry d 1
Ksa   1
Kuh n 1
Kul t 53
Kun   20
Kun n 3
Kur d 1
Kva l 5
Kvi n 8
Kvl e 1
Kvr   1
Kwa n 1
Kyo t 2
L D e 1
L J e 1
L i   1
L m e 1
L o g 4
L s o 1
LAF   13
LAF ' 2
LAF u 2
LAR A 1
LDE   4
LDE G 10
LE  N 1
LE  S 1
LE  a 1
LEG r 4
LEX   1
LFU L 7
LGB T 1
LGr u 2
LIB E 1
LIC R 2
LIF E 1
LO    1
LO  D 1
LO  F 1
LO  I 1
LO  V 1
LO  W 1
LO  a 1
LO  b 1
LO  d 5
LO  e 1
LO  f 2
LO  g 1
LO  h 1
LO  i 1
LO  k 4
LO  o 5
LO  p 1
LO  r 1
LO  s 5
LO  t 4
LO  v 1
LO  y 1
LO' s 14
LOe r 1
LOf o 1
LOi n 2
LOk o 32
LOs t 2
LP  D 1
LS' s 1
LT  J 1
LT  R 1
LT  o 1
LTT E 10
LUC F 1
LUL U 1
LUX f 1
LUX p 1
LVK   1
La  S 1
Lab o 4
Lad   105
Lad e 8
Lad y 7
Lag a 11
Lam b 9
Lam p 7
Lan d 93
Lan g 3
Lan k 24
Lar s 1
Lat i 3
Le  H 1
Le  M 1
Lea   1
Lea d 2
Lea g 1
Lea k 3
Leb e 2
Led e 2
Leg a 9
Leh m 5
Lei n 19
Len a 1
Len i 1
Leo   1
Leo n 7
Lep a 1
Les z 3
Let ' 1
Let l 9
Lev e 16
Lev n 11
Lew a 8
Lge m 15
Lib e 13
Lib y 83
Lic e 1
Lic h 5
Lid t 2
Lie b 3
Lie s 4
Lif e 1
Lig a 6
Lig e 40
Lim e 1
Lim o 1
Lio t 5
Lip s 1
Lis a 1
Lis e 1
Lis s 180
Lis t 5
Lit a 40
Lit v 1
Liv s 2
Lng e 2
Lns o 1
Lob b 5
Lof t 1
Lok a 1
Lon d 4
Lor c 4
Lor d 2
Lov e 1
Lov g 5
Lpe z 1
Lri n 3
Lrl i 2
Lse r 1
Lsn i 9
Lsz l 4
Ltt i 1
Lub e 1
Luc i 1
Lud f 3
Lud v 1
Luf t 14
Lui g 4
Lui s 1
Luk a 26
Luk m 1
Lun a 2
Lus j 1
Lut s 2
Lux e 4
Lvi n 1
Lya b 1
Lyo n 3
M J e 1
M M a 1
M V i 1
M d e 1
M e l 1
M f o 2
M j e 3
M n r 1
M n u 1
M o g 2
M s o 3
M t i 1
M v i 2
M's   1
MA  D 1
MA  I 1
MA  N 1
MA  b 1
MA  f 1
MA  h 1
MA  o 2
MA' s 1
MAK   1
MAR T 2
MDI   1
MED I 1
MEP ' 4
MES p 1
MEt e 2
MF    1
MF  D 5
MF  F 1
MF  H 2
MF  I 1
MF  J 2
MF  K 1
MF  O 2
MF  P 1
MF  a 1
MF  b 1
MF  d 1
MF  e 4
MF  f 2
MF  g 1
MF  h 1
MF  i 6
MF  k 2
MF  l 1
MF  n 1
MF  o 7
MF  p 2
MF  s 2
MF  t 1
MF  v 2
MF' s 13
MFE U 2
MFc h 1
MFp r 3
MFr e 1
MFs t 2
MHz   8
MHz a 1
MHz b 12
MHz f 1
MIC   1
MIF   1
MIS m 1
MM  t 1
MO  o 1
MO' e 3
MOD   1
MR  D 2
MR  e 3
MR  h 5
MR  k 1
MR  m 1
MR  o 1
MR  u 1
MRS A 1
MRg e 2
MS  f 1
MS  h 1
MS  i 3
MSA   1
MSs y 1
MT  D 1
MU' e 1
MV  F 1
MV  e 1
MV  m 1
MV' e 190
MVa r 1
MVg r 1
MVo m 1
MVo p 1
MVp o 4
MVp r 4
MVr e 4
MVs e 3
MVt e 4
MVu g 1
Maa s 5
Mac j 1
Mad a 25
Mad e 9
Mad l 1
Mad r 2
Mag h 1
Mag i 18
Mag n 2
Mah m 3
Maj e 8
Mak e 16
Mak r 3
Mal a 2
Mal c 1
Mal i 1
Mal m 17
Mal t 16
Man   65
Man a 1
Man c 1
Man d 12
Man g 43
Man u 5
Mar c 1
Mar f 2
Mar g 3
Mar i 14
Mar k 21
Mar o 4
Mar s 4
Mar t 9
Mar y 1
Mas s 2
Mas t 2
Mat e 2
Mat i 2
Mat o 1
Mat s 1
Mau r 30
May   1
Maz o 3
Maz z 3
Mbe k 3
Mbe s 1
Mbp s 5
McA v 1
McC a 1
McG u 1
Mde r 1
Mde t 2
Mdi r 6
Med   307
Med d 4
Med i 2
Med l 61
Med m 4
Med t 1
Med v 7
Meg e 4
Meh r 1
Mei s 2
Mek a 3
Mel l 31
Mel o 2
Mem b 1
Men   257
Men e 9
Men n 27
Men s 25
Mer c 4
Mer e 9
Mer k 15
Mer v 2
Mes t 1
Met i 1
Met o 2
Mid d 51
Mid l 2
Mid t 1
Mig r 4
Mig u 1
Mik a 1
Mik h 4
Mik l 1
Mik o 7
Mik u 1
Mil a 2
Mil i 5
Mil j 46
Mil l 4
Mil o 1
Min   29
Min d 3
Min e 14
Min i 9
Min s 3
Miq u 4
Mir o 2
Mis b 1
Mis f 1
Mis r 6
Mis t 2
Mit   28
Mit c 8
Mit t 1
Ml    5
Mla d 1
Mla l 1
Mle n 3
Mle t 34
Mli n 14
Mlk e 1
Mlo p 1
Mlo v 1
Mls t 4
Mlt   1
Mme k 1
Mnd   3
Mne d 1
Mng d 1
Mnt e 1
Moa l 1
Mob i 9
Mod   2
Mod e 2
Mod u 1
Mol d 6
Mol o 1
Mon   1
Mon a 1
Mon d 2
Mon e 3
Mon i 3
Mon n 2
Mon t 7
Mon z 1
Moo n 1
Mor d 1
Mor e 8
Mor g 4
Mor k 1
Mor v 2
Mos k 10
Mot o 17
Mou s 1
Mov e 1
Mrk n 1
Msk e 28
Muh a 1
Mui z 4
Muj a 2
Mul i 10
Mul t 1
Mum b 2
Mun d 1
Mur c 1
Mus c 3
Myn d 8
Myt n 1
N   J 1
N B l 1
N B o 1
N D a 1
N D e 10
N E u 1
N G   1
N H r 1
N I   1
N J e 4
N K r 1
N M e 1
N P a 1
N R e 1
N V e 1
N V i 1
N W o 1
N a l 1
N b l 4
N d a 2
N d e 5
N e l 2
N e r 12
N e t 1
N f o 1
N h a 4
N h v 4
N i   9
N i n 2
N k a 1
N m e 4
N n a 2
N n d 1
N n e 1
N n s 1
N o g 16
N o m 1
N p e 2
N p r 1
N s a 1
N s k 1
N s l 1
N s o 2
N s p 1
N t i 1
N u d 3
N v e 1
N v i 1
N's   119
NAF T 2
NAT O 50
NDE C 8
NEC E 1
NEP O 1
NER   1
NES C 2
NGL   1
NGL G 2
NGl a 1
NHC R 6
NI  D 1
NI  f 1
NI  k 1
NI  p 3
NI  s 1
NI  t 2
NIC   4
NIC E 1
NIp r 1
NLE   2
NMI S 1
NN  D 3
NN  I 1
NN  K 1
NN  M 1
NN  R 1
NN  V 1
NN  a 1
NN  b 2
NN  d 3
NN  e 8
NN  f 1
NN  h 1
NN  i 1
NN  m 1
NN  o 3
NN  p 1
NN  s 2
NN  u 2
NN  v 1
NN' s 6
NOJ   1
NOS   2
NP    3
NP  D 11
NP  E 1
NP  F 2
NP  H 1
NP  I 2
NP  J 4
NP  L 1
NP  M 2
NP  P 2
NP  U 2
NP  a 4
NP  b 1
NP  d 3
NP  e 27
NP  f 6
NP  g 1
NP  h 3
NP  i 22
NP  k 4
NP  l 1
NP  m 3
NP  n 1
NP  o 45
NP  p 11
NP  s 10
NP  t 3
NP  v 3
NP' s 1
NPI   3
NPI m 1
NPT   2
NPi n 1
NPt a 1
NRA   2
NRW A 2
NSC R 1
NSR E 5
NSS   27
NSS T 6
NSS a 7
NSS p 4
NSS r 1
NSS s 4
NSS t 2
NT  D 1
NT  T 1
NT  d 1
NT  i 1
NT  o 1
NTE R 2
NTE X 1
NTn e 2
NTp r 5
NUT S 1
Nab u 4
Nad j 2
Nad u 1
Nag o 6
Nag y 1
Nai v 1
Nao u 1
Nap o 3
Nar k 108
Nar o 1
Nas h 8
Nat i 37
Nat o 1
Nat u 18
Nav i 1
Nav n 10
Nda g 1
Ndv e 1
Nea   1
Ned b 1
Ned e 14
Ned l 1
Ned s 1
Nei l 1
Nej   5
Nem l 1
Nem t 1
Net   12
Net a 1
Net o 10
Net v 1
Nev e 1
New   4
New t 1
Ngl e 7
Nhe l 1
Nic c 2
Nic u 2
Nie b 3
Nik i 2
Nik o 2
Nil   3
Niv a 1
Niv e 1
Niz h 14
Nja g 1
Nko n 1
Nkv i 1
Nme d 3
Nmi s 1
Nob e 3
Nog e 3
Nog l 43
Nor d 99
Nor g 7
Nor m 1
Nou a 1
Nov a 1
Nov g 14
Npa n 4
Npp e 1
Nr  E 1
Nr  G 1
Nr  H 1
Nr  I 1
Nr  K 1
Nr  P 3
Nr  R 1
Nr  a 16
Nr  d 43
Nr  e 6
Nr  f 4
Nr  h 2
Nr  j 14
Nr  k 1
Nr  m 13
Nr  n 2
Nr  p 1
Nr  r 1
Nr  s 1
Nr  t 3
Nr  v 38
Nra p 5
Nrb u 1
Nre s 1
Nrv r 1
Nsk n 1
Nsp r 2
Nst e 35
Nst f 2
Nsy s 9
Ntr o 1
Nu  b 2
Nu  e 13
Nu  f 2
Nu  g 1
Nu  h 17
Nu  k 1
Nu  l 1
Nu  m 3
Nu  n 1
Nu  o 2
Nu  s 6
Nu  t 1
Nu  v 9
Nuc l 4
Nuk l 2
Num m 1
Nvn   1
Nye   5
Nyt   1
O     1
O   e 1
O   k 2
O D e 7
O D i 1
O E n 1
O E r 1
O F o 1
O F r 1
O I n 1
O J e 4
O M e 1
O N u 1
O O E 1
O O r 1
O P   2
O R u 1
O T i 1
O T v 1
O U S 1
O U a 1
O V   1
O V I 1
O V e 1
O V i 5
O W T 2
O a f 1
O a r 1
O a t 2
O b d 1
O b e 3
O b r 3
O d a 4
O d e 3
O e l 3
O e n 4
O e r 10
O f o 7
O f r 7
O g i 1
O h a 7
O h v 2
O i   3
O i d 1
O i n 2
O k a 2
O k o 3
O m e 5
O n d 1
O o g 21
O o m 4
O o p 1
O p   1
O p o 1
O r e 1
O r o 2
O s a 3
O s e 1
O s k 4
O s l 1
O s o 5
O s p 3
O t i 4
O u d 1
O u n 1
O v a 1
O v i 5
O y d 1
O'e r 7
O's   29
OB  b 1
OB  o 3
OCT A 1
OD  a 1
ODA   9
ODA r 1
ODI H 1
OE  o 1
OEC D 9
OF  D 1
OIC   1
OJ  o 1
OL  i 1
OLA F 17
OLT   3
OM  d 1
OMA K 1
ON  o 1
ONN   35
ONN ' 6
ONT E 1
OPA   4
OR  L 2
OR  i 1
OS  E 1
OS  o 1
OSC E 10
OSH A 5
OTC   1
OV  f 1
OX  s 1
Oaf g 1
Oaf t 5
Oak t 1
Oba m 4
Obe s 1
Obj e 1
Obl i 1
Oce a 5
Odo m 1
Odr i 1
Ody s 1
Oem i 25
Oem m 1
Oer k 1
Oet i 1
Oet t 19
Off e 13
Off i 4
Ofo d 3
Ofo r 11
Ofr e 1
Ofr i 4
Oft e 1
Og  P 1
Og  a 1
Og  d 12
Og  e 9
Og  f 4
Og  h 14
Og  i 2
Og  j 3
Og  l 1
Og  m 3
Og  n 4
Og  s 7
Og  t 2
Og  u 1
Og  v 2
Ogs   17
Oin i 2
Ok  m 1
Ok  s 1
Oka y 1
Oki l 1
Oko n 34
Okr e 1
Okr i 1
Old i 2
Olk a 5
Oll e 1
Oll i 3
Om  D 1
Om  H 1
Om  M 1
Om  V 1
Om  d 1
Om  e 2
Om  f 1
Om  k 1
Om  n 4
Om  s 1
Oma r 2
Omb u 17
Omd e 1
Ome d 10
Omf a 4
Omg e 1
Omh u 1
Omk o 2
Omk r 4
Omr d 4
Oms i 1
Omv e 1
Ont a 1
Oop e 1
Opd e 1
Ope l 2
Ope n 3
Ope r 6
Opf o 4
Opg i 1
Oph v 5
Opl a 3
Opl s 1
Opl y 2
Opm r 3
Opn e 2
Opp o 2
Opr e 5
Opr i 4
Ops p 1
Ops u 1
Opt r 49
Ora d 1
Orb n 2
Ord e 4
Ord f 28
Ord n 2
Ord r 1
Ore g 2
Ore v 1
Org a 30
Ors a 1
Ort e 1
Os  d 1
Osa m 5
Osc a 2
Osk i 1
Osm a 3
Ost a 2
Ost y 1
Oto p 1
Oua t 1
Oud f 2
Oud l 5
Ouz k 1
Ove n 2
Ove r 77
P     1
P   i 1
P   n 1
P   o 1
P B e 1
P D e 17
P E U 2
P F o 3
P H a 1
P H v 2
P I   1
P I K 1
P I f 1
P J e 5
P L a 1
P M a 1
P M e 1
P P   2
P P a 3
P R d 3
P U d 1
P U n 1
P V i 1
P W T 1
P a f 3
P a l 1
P a n 1
P a t 3
P b a 48
P b e 4
P b i 1
P b l 2
P b r 3
P b y 1
P d a 3
P d e 153
P e f 3
P e l 4
P e n 4
P e r 35
P e t 19
P e u 3
P f e 1
P f l 4
P f o 10
P f r 1
P g i 2
P g r 36
P h a 4
P h e 1
P h v 3
P i   18
P i d 1
P i k 6
P i m 1
P i n 5
P k a 4
P k o 6
P k r 1
P k u 1
P l a 3
P l i 1
P l n 5
P m a 1
P m d 4
P m e 5
P m i 1
P m l 1
P n a 1
P n e 2
P n o 1
P n r 1
P n s 1
P n u 7
P o g 55
P o m 6
P o p 1
P p   6
P p l 3
P p r 5
P r s 1
P s a 20
P s i 1
P s k 5
P s l 3
P s o 12
P s t 5
P s y 1
P t i 8
P t o 2
P t r 23
P t y 1
P u d 2
P v e 12
P v i 3
P v o 1
P v r 1
P'e r 4
P's   4
PA    1
PA  T 1
PA  e 1
PA  m 1
PA  o 2
PCO   1
PE  A 1
PE  E 2
PE  d 1
PE  o 2
PEG r 9
PEg r 1
PGr u 1
PHR   1
PI    1
PI  K 1
PI  o 2
PI  s 1
PIm l 1
PLO   2
PMS   5
POM A 1
PP  e 3
PP  o 1
PPE   6
PPE G 9
PPE g 1
PPG r 1
PRO V 1
PRS I 1
PRa r 1
PS  D 2
PS  E 1
PS  R 1
PS  a 1
PS  b 2
PS  f 1
PS  h 3
PS  i 1
PS  k 1
PS  m 2
PS  s 2
PS  y 1
PS'   1
PSC   1
PSO E 1
PSf a 1
PSs y 4
PSt j 1
PT  D 2
PT  s 1
PTA P 1
PVV   1
Pac k 5
Pac t 1
Pad a 1
Pag t 1
Pak i 126
Pak k 4
Pak s 2
Pal e 1
Pal s 12
Pan d 1
Pan e 3
Pao l 1
Pap a 1
Par a 2
Par i 8
Par k 10
Par l 1832
Par t 10
Par v 1
Pas c 1
Pas s 2
Pat   1
Pat r 2
Pau l 4
Pav l 1
Pde l 1
Pel c 1
Pen g 5
Per c 1
Per f 2
Per i 3
Per m 1
Per s 18
Per v 1
Pet e 3
Pfo r 1
PhD g 1
Pie b 4
Pie p 7
Pie r 8
Pil   1
Pil o 2
Pin d 1
Pin g 1
Pir k 1
Pit t 4
Pla d 1
Pla n 1
Pla t 1
Pli g 1
Ply d 1
Pmi s 1
Pml s 1
Pnt e 1
Poc z 1
Poi n 1
Pol e 45
Pol i 32
Pol l 21
Pol s 1
Por d 1
Por t 86
Pos p 1
Pos s 3
Pot o 7
Pou p 1
Ppr o 3
Pra g 4
Pra k 1
Pra m 1
Pra t 1
Prc i 1
Pre d 1
Pre m 1
Pre s 25
Prf e 1
Pri d 1
Pri n 8
Pri o 4
Pri s 1
Pri v 1
Prn c 20
Pro b 25
Pro c 6
Pro d 2
Pro f 1
Pro g 46
Pro j 6
Pro t 2
Prs i 11
Prv   1
Psa m 1
Psk u 1
Pst a 2
Pta l 1
Pub l 1
Pue r 1
Pun k 4
Put i 2
Pyr e 3
QLS ' 1
Qae d 2
Qat a 1
Qua i 1
Qua l 2
Qua r 1
Qui n 2
R     6
R   E 1
R   e 1
R   h 1
R   i 1
R   m 2
R   o 1
R   s 1
R   t 1
R A l 1
R C y 1
R D a 1
R D e 9
R E U 1
R F o 1
R F r 1
R H e 1
R H v 3
R I   5
R I n 2
R J e 5
R L i 2
R M e 2
R N r 1
R P   3
R S k 1
R S o 1
R U d 2
R V i 1
R a f 6
R a l 1
R a n 1
R a t 1
R b r 4
R d a 1
R d e 13
R d i 1
R d o 1
R e f 3
R e l 1
R e r 10
R f a 2
R f i 1
R f o 20
R f r 9
R g r 2
R h a 1
R h e 1
R h o 5
R h v 11
R i   45
R i n 8
R k o 1
R k u 1
R l d 1
R m e 5
R m i 1
R n a 1
R n e 1
R n u 1
R o g 21
R o m 14
R o p 3
R o v 3
R p   6
R p r 8
R r e 1
R r l 1
R s   1
R s a 1
R s e 1
R s k 6
R s l 1
R s o 6
R s s 1
R s t 2
R t i 37
R t r 1
R u d 2
R u n 1
R v a 1
R v i 1
R v r 1
R's   5
RA  D 3
RA  E 1
RA  F 1
RA  H 1
RA  J 1
RA  M 1
RA  a 1
RA  e 2
RA  f 1
RA  h 1
RA  i 1
RA  k 1
RA  l 1
RA  o 2
RA  s 2
RA  v 2
RAS F 2
RAp r 1
RAv u 1
RCG r 1
RD    1
RD  S 1
RD  o 1
RDI   1
RDI p 1
RDI t 1
RE  S 1
RE  d 1
RE  e 1
RE  h 1
RE  i 1
RE  o 1
REA C 2
REG   5
REG i 2
REI T 1
REL E 1
REb e 2
REu d 3
RF    1
RF  s 1
RFF O 4
RFI D 2
RGE T 2
RGr u 9
RIA R 2
RIK l 3
RIP S 1
RIu d 1
RO  V 2
RON T 1
ROV   1
RP  a 1
RP  b 1
RP  d 2
RP  e 3
RP  f 1
RP  g 1
RP  i 1
RP  k 1
RP  m 1
RP  n 1
RP  o 2
RP  s 1
RP  t 1
RP' s 1
RPp r 1
RRE G 2
RSA   1
RSF F 2
RSI   1
RSP P 1
RTk r 2
RU  D 3
RU  S 2
RU  k 1
RU  o 10
RU' s 1
RUt i 1
RWA   1
RWA ' 1
Rac h 1
Rac i 4
Rad a 1
Rad e 1
Rad i 6
Raf a 1
Rah i 3
Rah m 1
Rai n 1
Raj a 3
Raj o 7
Ral   2
Ram a 2
Ram m 5
Rap k 1
Rap p 5
Rar b 1
Rar e 1
Ras m 1
Rat e 1
Rat k 1
Rau   1
Rav a 2
Rd    1
Rd  D 3
Rd  E 2
Rd  H 2
Rd  J 1
Rd  M 1
Rd  P 1
Rd  b 3
Rd  d 6
Rd  e 2
Rd  f 3
Rd  g 3
Rd  h 5
Rd  i 7
Rd  k 1
Rd  m 3
Rd  n 2
Rd  o 13
Rd  p 1
Rd  s 5
Rd  t 4
Rd  u 1
Rd  v 7
Rde   4
Rde r 1
Rde t 879
Rdg i 2
Rds   9
Rds m 1
Rds p 1
Rds r 1
Rea c 1
Rea k 2
Reb e 1
Red i 14
Red n 1
Red u 1
Ree l 1
Ref o 4
Reg e 8
Reg i 63
Reg l 2
Reg n 1
Reg u 5
Reh n 17
Rei m 1
Rei n 2
Rei t 5
Rel e 1
Rem e 3
Ren t 3
Rep o 1
Rep r 2
Rep u 91
Rer u 1
Res e 1
Res i 1
Res o 1
Res p 3
Res s 2
Res t 1
Res u 25
Ret f 1
Ret l 17
Ret s 22
Ret t 36
Reu l 2
Rev i 224
Rev o 1
Rey n 2
Rfi n 1
Rfl l 6
Rfo r 2
Rge n 2
Rhi n 1
Rhn e 9
Rib b 1
Ric h 3
Rig h 1
Rin a 3
Ris i 8
Ris t 1
Riv e 14
Rme d 1
Rob   1
Rob e 5
Rob i 1
Roc k 1
Rod u 1
Roh d 1
Rol l 1
Rom   6
Rom a 2
Rom k 1
Rom p 6
Rom s 1
Rom t 1
Ron a 1
Ror g 2
Ros a 1
Ros b 8
Ros e 2
Rot h 1
Rot t 1
Rou e 1
Rpr o 5
Rre a 2
Rsp r 1
Rud y 1
Rug g 1
Rum n 173
Rum p 1
Rus l 248
Rus s 10
Rut h 1
Rut t 1
Ryg t 1
Ryz h 1
Rze c 1
S   e 1
S D e 7
S E U 1
S E f 1
S E u 2
S G a 1
S I   3
S I I 4
S J e 1
S K O 1
S K o 3
S R d 1
S R e 1
S S c 1
S V i 1
S a l 2
S a n 1
S a t 1
S b l 4
S b r 2
S d e 10
S e f 2
S e j 1
S e n 3
S e r 9
S e t 1
S f o 9
S f r 2
S g e 1
S g l 1
S h a 9
S h e 1
S h j 1
S h v 9
S i   8
S i g 1
S i k 1
S i n 1
S j a 2
S j e 9
S k a 5
S k r 2
S l a 9
S l n 5
S l u 3
S m   1
S m a 1
S m e 5
S m i 1
S o g 9
S o m 1
S o p 1
S p   3
S p e 1
S s a 3
S s e 6
S s g 1
S s k 2
S s o 8
S s r 1
S s t 1
S t a 1
S t i 2
S u d 2
S v a 1
S v i 27
S v o 2
S y d 1
S'    1
S'  p 1
S's   2
SA    3
SA  A 1
SA  C 2
SA  D 9
SA  E 1
SA  I 2
SA  J 4
SA  K 4
SA  M 2
SA  R 1
SA  V 1
SA  a 2
SA  b 1
SA  d 7
SA  e 8
SA  f 2
SA  g 1
SA  h 6
SA  i 9
SA  l 1
SA  m 8
SA  n 2
SA  o 26
SA  p 2
SA  s 7
SA  u 1
SA  v 4
SA' s 15
SAA   1
SAD C 5
SAR   4
SAR f 6
SAR p 1
SAd i 1
SAf o 1
SBA   19
SBA i 1
SBA k 1
SBA p 1
SC  o 1
SCE   9
SCE ' 1
SCO k 2
SCR   1
SD  D 2
SD  F 1
SD  f 2
SD  h 1
SD  i 2
SD  o 5
SD  s 1
SD  v 1
SD' s 1
SDG r 6
SEA N 3
SEC   23
SES A 11
SET p 2
SEU   3
SF    1
SF  D 2
SF  E 2
SF  S 1
SF  b 1
SF  n 1
SF  o 4
SF  p 1
SF  s 1
SF' s 1
SFF   4
SFP   18
SFP ' 1
SFP m 1
SFP s 1
SFm i 1
SFp r 1
SG  D 1
SG  i 1
SG  m 1
SHA   5
SI  r 1
SIS   13
SIS r 1
SM  e 1
SM  o 1
SM  s 1
SM' s 1
SMA   1
SMA ' 1
SMA R 2
SME t 2
SMV   3
SMV ' 190
SMV a 1
SMV g 1
SMV o 2
SMV p 8
SMV r 4
SMV s 3
SMV t 4
SMV u 1
SNG l 1
SOE   1
SP    1
SP  B 1
SP  D 3
SP  H 1
SP  b 2
SP  d 1
SP  e 2
SP  h 1
SP  i 5
SP  m 1
SP  o 6
SP  p 2
SP  s 2
SP  t 1
SP  u 1
SPP   1
SPf o 1
SPo r 1
SPs t 1
SR  s 1
SR' s 1
SRE G 5
SS  D 1
SS  G 1
SS  I 1
SS  J 1
SS  K 2
SS  d 1
SS  e 5
SS  g 2
SS  h 1
SS  i 1
SS  k 3
SS  o 3
SS  p 1
SS  s 4
SS  t 1
SS  v 1
SSG   3
SSR   1
SSR ' 1
SST i 6
SSa p 7
SSp r 4
SSr e 1
SSs i 1
SSs y 3
SSt e 2
STi l 6
SU  I 1
SU  S 1
SU  a 1
SU  d 1
SU  h 1
SU  o 5
SU  s 1
SU' s 2
SUR E 7
SVA C 4
Saa k 1
Sab i 1
Sac h 4
Sad d 1
Saf e 3
Sag e 9
Sag s 1
Sag t 1
Sai f 1
Saj j 2
Sak h 9
Sak i 1
Sal a 3
Sal i 2
Sal v 3
Sam a 29
Sam e 1
Sam f 2
Sam h 37
Sam l 2
Sam m 20
Sam o 2
Sam t 77
San c 16
San d 10
San k 3
San n 1
San t 5
Sap i 1
Sap p 7
Sar a 37
Sar d 1
Sar k 8
Sar n 1
Sar y 1
Sat e 1
Sau d 2
Sch a 5
Sch e 357
Sch l 8
Sch m 18
Sch u 13
Sch w 15
Sco r 1
Sda n 31
Sdi r 1
Se  h 1
Sec o 1
Sec u 1
See b 3
Sei m 1
Sej m 1
Sek s 2
Sek t 9
Sel l 4
Sel s 1
Sel v 164
Sem p 2
Sen e 3
Seo u 1
Sep p 1
Ser   1
Ser b 10
Ser g 2
Ser r 3
Ser v 3
Set   5
Sev e 7
Sey c 45
Sfa c 1
Sfa r 12
Sfr e 1
Sha l 1
Sha n 1
Sha r 3
Shi v 1
Sib i 2
Sic i 2
Sid e 23
Sid s 31
Sig t 1
Sik k 61
Sik r 2
Sil i 2
Sil v 2
Sim o 2
Sim p 6
Sin g 1
Sir e 1
Sis m 1
Sis y 1
Sit u 15
Sjl d 1
Sjl e 1
Ska l 10
Ska n 1
Ska t 3
Ski b 1
Skn t 11
Sko t 3
Sko v 28
Skr i 3
Skr u 1
Skt   1
Sky   10
Sky l 1
Sl  d 1
Sla n 9
Sle d 11
Slg e 1
Sli p 1
Slo v 11
Slu d 2
Slu t 11
Sm  o 3
Sma l 43
Smi d 1
Smi s 1
Smr k 1
Sna r 1
Snc h 3
Snd a 2
So  T 20
Sob a 1
Soc i 113
Sof i 2
Sof t 1
Sol   1
Sol d 1
Sol i 3
Som   292
Som a 1
Son i 2
Son y 1
Sor t 3
Sos a 1
Sot o 4
Sou t 1
Sov j 15
Spa n 36
Spe c 6
Spe k 1
Spi l 1
Spo r 2
Spr g 37
Spr o 6
Squ a 2
Sre l 2
Srg   1
Sri   24
Srl i 17
Ssi k 1
Ssy s 9
St  B 1
St  P 4
St  k 1
St  t 1
Sta b 10
Sta d 1
Sta e 4
Sta l 2
Sta n 1
Sta r 2
Sta t 20
Sta v 28
Ste k 2
Ste m 1
Ste r 2
Ste v 2
Sti g 2
Sti l 13
Stj e 2
Sto c 2
Sto d 1
Sto e 2
Sto i 1
Sto r 17
Sto y 2
Str a 47
Str e 5
Str l 1
Str r 4
Str s 5
Str u 4
Stt t 9
Stu b 1
Stu d 1
Stu r 1
Sty r 9
Sub s 1
Suc c 1
Sud a 52
Sue z 1
Suk k 1
Sun d 8
Sur v 2
Sus s 1
Sus t 1
Sva r 15
Sve r 21
Svi g 5
Swi n 2
Swo b 2
Syd   2
Syd a 2
Syd e 5
Syd k 8
Syd l 5
Syd o 5
Syd s 94
Sye d 1
Syg d 14
Syl v 2
Sym e 1
Sym m 1
Syn e 1
Syr i 32
Sys t 11
Syv   2
Syv e 2
Syv r 1
Szj e 3
Szk e 1
T D e 4
T D i 1
T I s 1
T J e 4
T K o 1
T P   1
T R e 1
T T i 1
T U l 1
T d e 1
T e r 1
T h a 1
T i   4
T m e 2
T o g 4
T s a 1
T s o 1
T v i 1
T'e r 2
T's   1
TA    2
TA  D 1
TA  V 1
TA  a 1
TA  e 3
TA  f 2
TA  i 1
TA  k 1
TA  m 9
TA  o 1
TA  p 1
TA  s 2
TA  u 1
TA  v 2
TA' s 1
TAP R 1
TAR G 2
TAa f 1
TAf o 1
TAm e 1
TC  s 1
TD  Q 1
TE    1
TE  V 1
TE  a 1
TE  h 1
