      98
    A 24
    B 10
    C 10
    D 18
    E 126
    F 16
    H 10
    I 8
    J 16
    K 10
    L 10
    M 60
    O 2
    P 8
    S 6
    T 12
    U 6
    V 2
    W 4
    Z 4
    a 94
    b 52
    d 396
    e 44
    f 22
    g 22
    h 14
    i 56
    j 2
    k 18
    l 10
    m 4
    n 14
    o 8
    p 16
    r 2
    s 38
    t 6
    u 76
    v 12
    w 16
    z 46
  A   2
Kri e 102
Kri m 60
Kri s 788
Kri t 288
Krm n 6
Kro a 208
Kro k 4
Krp e 10
Krs k 2
Kru x 2
Krz e 26
Krz l 4
Krz u 82
Ksa   2
Kse   4
Kst c 6
Kst e 52
Kub a 10
Kub i 2
Kuf e 22
Kuh h 4
Kuh n 2
Kul i 4
Kul t 636
Kum p 2
Kum u 2
Kun d 34
Kun s 32
Kup f 6
Kur d 2
Kur s 28
Kur z 34
Kuw a 2
Kvr   2
Kwa s 2
Kyo t 2
L z u 2
LAF   10
LAR A 2
LDE   6
LDE F 20
LE    2
LE  A 2
LE  D 2
LE  i 2
LE  u 2
LEF r 10
LEO   2
LER   20
LFr a 4
LG  E 2
LG  g 2
LG  i 2
LGB T 4
LI  i 2
LIB E 6
LIC R 4
LIF E 2
LIL E 2
LJB e 2
LKW M 4
LKW T 2
LLR C 2
LO  A 2
LO  d 2
LO  i 4
LOA b 2
LOK o 2
LOS t 2
LRC   2
LS  b 2
LS  d 2
LTT E 10
LUX F 2
LUX P 2
LVA   2
Lab o 22
Lad e 14
Lad u 4
Lad y 20
Lag a 14
Lag e 550
Lai s 2
Lam b 18
Lam p 10
Lan d 1436
Lan g 56
Lan k 66
Lar s 2
Las s 174
Las t 98
Lat i 2
Lau f 106
Lau t 32
Laz a 2
Lch e 10
Lck e 42
Lde n 2
Le  H 2
Le  M 2
Lea g 4
Lea k 4
Lea r 2
Leb e 844
Led e 14
Led i 2
Leg a 14
Leg e 2
Leg i 204
Leh m 12
Leh n 2
Leh r 110
Lei d 110
Lei n 18
Lei p 2
Lei s 170
Lei t 194
Lek t 12
Len a 2
Leo   2
Leo n 16
Lep a 4
Ler n 166
Les b 6
Les e 4
Les s 2
Les u 96
Les z 4
Let t 12
Let z 74
Leu t 112
Lev e 18
Lew a 14
Lex   2
Ley   6
Lge   4
Lge n 6
Lhm u 2
Lhn e 26
Lib e 92
Lib y 156
Lic h 46
Lie b 30
Lie f 28
Lie g 14
Lie s 4
Lif t 6
Lig a 14
Lim e 2
Lim o 4
Lin d 6
Lin i 74
Lin k 52
Lio t 4
Lip p 4
Lip s 2
Liq u 28
Lis e 2
Lis s 294
Lis t 100
Lit a 68
Lit e 4
Liz e 12
Lkk e 4
Lkw   12
Lkw F 2
Lkw G 2
Lkw S 2
Lnd e 1242
Lnd l 2
Lng e 10
Lob   4
Lob b 212
Loc h 2
Loc k 2
Log i 32
Log o 2
Loh n 22
Lok a 6
Lon d 18
Lor c 6
Lor d 2
Los   22
Los e 4
Los l 2
Lot   2
Loy a 6
Lpe z 2
Lrm   18
Lrm b 44
Lrm e 2
Lrm m 2
Lss t 2
Lst   2
Lsu n 514
Lsz l 6
Lub e 2
Luc i 2
Lud f 6
Lud v 2
Luf t 320
Lui g 4
Lui s 2
Luk a 40
Lul l 4
Lun a 6
Lup e 2
Lux e 12
Lux u 2
Luz e 6
Lvi n 2
Lya b 2
Lyo n 6
Lyt w 2
M   e 2
M D i 2
M a u 2
M d a 2
M d e 2
M d i 2
M e i 2
M h a 2
M i n 2
M k o 2
M o d 2
M w i 2
MA    2
MA  A 2
MA  B 2
MA  b 2
MA  h 2
MA  u 2
MAK   2
MAR T 2
MBr o 2
MCO   4
MCO A 2
MDG   6
ME  D 2
MEA   4
MED I 2
MEN   2
MES   4
MEX   2
MEZ   2
MEs   2
MFR   88
MFR G 2
MFR P 2
MHz   6
MHz B 18
MHz D 2
MIC   2
MIC A 2
MIF   2
MIS   2
MME   2
MO  f 2
MO  m 2
MON U 4
MR  D 4
MR  b 10
MR  e 4
MR  f 4
MR  i 4
MR  m 2
MR  s 6
MR  z 2
MRF   2
MRG e 4
MSA   8
MSU   2
MU    14
MU  A 2
MU  D 2
MU  E 2
MU  F 2
MU  I 2
MU  L 2
MU  O 2
MU  R 2
MU  U 2
MU  a 26
MU  b 26
MU  d 40
MU  e 14
MU  f 12
MU  g 4
MU  h 8
MU  i 52
MU  j 4
MU  l 2
MU  m 14
MU  s 14
MU  u 46
MU  v 8
MU  w 6
MU  z 38
MUB e 6
MUL e 2
MUP o 6
MUP r 2
MUS e 4
MUT e 14
MUW o 2
Ma  G 2
Ma  W 2
Ma  a 64
Ma  d 2
Ma  g 2
Ma  i 2
Ma  u 2
Ma  v 4
Maa s 6
Mac J 2
Mac h 146
Mad a 38
Mad e 18
Mad l 2
Mad r 2
Mae   60
Mae i 2
Mae n 2
Mae s 12
Maf i 4
Mag a 6
Mag e 2
Mag h 4
Mag i 22
Mag n 4
Mah   2
Mah i 2
Mah l 2
Mah m 4
Mah n 4
Mai   148
Mai l 10
Mai n 6
Mai s 2
Maj e 6
Mak r 32
Mal   128
Mal a 2
Mal e 6
Mal i 2
Mal m 32
Mal t 20
Mam m 4
Man   106
Man a 1488
Man c 10
Man d 134
Man g 74
Man i 10
Man n 24
Man u 2
Mar a 2
Mar c 2
Mar f 2
Mar g 6
Mar i 42
Mar k 626
Mar o 8
Mar s 10
Mar t 14
Mar y 2
Mas c 30
Mas o 4
Mas s 56
Mas t 48
Mat e 64
Mat i 4
Mat o 2
Mat r 2
Mat u 2
Mau e 2
Mau r 48
Mau t 50
Max i 8
May   2
Maz e 14
Maz z 2
Mbe k 2
Mbi t 10
McG u 2
Mch t 38
MdE P 8
Mec h 166
Med a 2
Med i 96
Med w 6
Mee r 58
Meg a 4
Meh r 494
Mei l 8
Mei n 1038
Mei s 10
Mel d 6
Mel l 8
Mem b 4
Mem o 10
Men   2
Men g 50
Men n 2
Men s 1862
Men t 2
Mer a 2
Mer c 4
Mer k 72
Mer v 2
Mes s 88
Met a 2
Met e 14
Met h 118
Met i 2
Met r 2
Mex i 4
Mfr e 2
Mgl i 738
Mhe   10
Mhe n 2
Mhl s 2
Mic h 2
Mie t 2
Mig r 214
Mik a 2
Mik h 8
Mik l 2
Mik o 14
Mik r 30
Mik u 4
Mil a 2
Mil c 40
Mil d 2
Mil i 102
Mil l 300
Mil o 2
Min d 172
Min e 8
Min g 2
Min i 168
Min s 6
Min u 46
Mio   92
Miq u 6
Mir   22
Mir o 6
Mis S 2
Mis c 6
Mis e 2
Mis r 8
Mis s 168
Mit   250
Mit a 46
Mit b 58
Mit c 10
Mit e 42
Mit g 3812
Mit h 6
Mit l 4
Mit o 2
Mit s 12
Mit t 1324
Mit v 8
Mit w 20
Mix   4
Mla d 4
Mll   4
Mll e 4
Mll k 2
Mlz e 2
Mng e 76
Mnn e 30
Mnz e 22
Mnz n 2
Mnz s 4
Mob i 368
Mod a 10
Mod e 146
Mod u 48
Mog u 2
Moh a 4
Mol d 8
Mol o 2
Mom e 74
Mon a 210
Mon d 4
Mon e 2
Mon g 60
Mon i 6
Mon n 2
Mon o 30
Mon t 26
Mon z 2
Mor a 18
Mor d 6
Mor e 14
Mor g 50
Mor k 4
Mor v 2
Mos a 2
Mos c 4
Mos k 22
Mot i 4
Mot o 68
Mot t 24
Mou s 2
Mrc h 4
Mrd   162
Mrd E 2
Mrk t 252
Mrt y 2
Mrz   84
Ms    2
Ms  u 2
Mss e 4
Mtt e 10
Mua l 2
Muc h 2
Muh a 8
Mui z 4
Muj a 2
Mul i 2
Mul t 52
Mum b 2
Mun d 6
Mur c 2
Mus c 8
Mus e 6
Mus i 6
Mus l 6
Mus s 2
Mus t 16
Mut   52
Mut t 26
Myt h 2
Myt n 2
N A b 2
N A u 2
N C I 2
N D a 2
N D e 2
N S o 2
N W O 2
N W o 4
N a k 2
N b e 6
N d e 12
N d i 4
N d u 2
N e i 4
N g e 2
N g r 2
N i n 4
N i s 4
N k n 2
N m e 2
N o d 2
N s c 2
N s i 2
N s t 4
N u n 22
N v e 2
N z e 2
N z u 4
NAF T 6
NAT O 72
NAg e 2
NBe h 2
NBe r 6
NCh a 8
NDE C 8
NDa t 2
NE  A 2
NE  b 2
NE  d 2
NE  f 8
NE  v 2
NEC E 2
NEF u 2
NEP O 2
NEP r 2
NER   2
NES C 4
NES T 10
NFP   4
NFr i 4
NGL F 4
NGO   6
NGe n 18
NGr e 4
NGr u 2
NHC R 2
NHR C 8
NHe l 2
NHo c 4
NI  S 2
NIC   8
NIP r 2
NIS A 2
NLE   4
NMa n 2
NMe n 4
NMi t 2
NNO V 2
NO  u 4
NO  v 2
NOG e 2
NOJ   2
NOS   82
NOS A 2
NOS S 6
NOV A 2
NP  b 2
NP  d 2
NPI   4
NPI Z 2
NPR e 2
NPa n 2
NPb e 4
NRA   4
NRO   12
NRa t 2
NRe s 6
NSR E 12
NSS   72
NSS A 24
NSS P 2
NSS S 8
NSS T 2
NSS b 2
NSa c 4
NSi c 14
NSo n 2
NSy s 4
NT  s 2
NT  z 2
NTA A 2
NTE R 2
NTE X 16
NTP r 4
NTV o 2
NTh e 4
NUC M 2
NUC T 2
NUT S 2
NV  f 2
NVN e 2
NVP r 2
NWB   4
Na  g 2
Nab u 6
Nac h 786
Nad e 2
Nad u 2
Nag a 2
Nag o 6
Nag y 2
Nah e 46
Nah o 10
Nah r 160
Nah v 2
Nai v 2
Nam e 302
Nam i 2
Nan o 16
Nap o 2
Nar r 2
Nas h 14
Nat i 378
Nat r 86
Nat u 150
Nav i 56
Naz i 2
Nch s 12
Nea   6
Neb e 38
Ned e 2
Nef f 2
Neg a 22
Neg i 2
Neh m 18
Nei g 6
Nei n 34
Nem t 2
Nen n 12
Neo l 8
Nep a 2
Net a 2
Net t 22
Net w 6
Net z 78
Neu a 18
Neu b 14
Neu d 8
Neu e 42
Neu f 10
Neu g 12
Neu i 4
Neu l 2
Neu n 4
Neu p 2
Neu s 10
Neu t 6
Neu v 2
Neu w 2
Nev e 2
New   8
New t 4
Nge l 2
Nhe   24
Nhr w 4
Nic c 2
Nic h 174
Nic u 4
Nie b 10
Nie d 42
Nie m 18
Nig e 2
Nik i 6
Nik o 4
Nil   4
Nim b 2
Nin i 2
Nir g 2
Nis c 16
Nis t 2
Niv e 82
Niz h 6
Nml i 2
NoB a 2
NoD e 2
NoE x 2
Nob e 6
Noc h 24
Nom e 10
Nom i 4
Nor d 226
Nor m 74
Nor w 6
Not   4
Not e 2
Not f 42
Not h 6
Not l 8
Not r 2
Not s 4
Not w 460
Nou a 2
Nov a 2
Nov e 66
Nov g 6
Nov u 2
Now g 16
Nr    116
Nrb u 2
Nte n 6
Ntz l 2
Nua n 2
Nuk l 44
Nul l 14
Num m 18
Nun   58
Nur   60
Nus s 2
Nut t 2
Nut z 574
O   B 4
O   u 2
O A b 2
O A u 2
O D e 2
O D i 2
O E m 4
O E n 2
O E s 2
O F r 2
O M e 2
O M i 2
O O E 2
O O r 2
O P A 2
O R u 2
O V   2
O V I 2
O W T 2
O W i 6
O a b 2
O a l 4
O a n 4
O a u 12
O b e 20
O b i 2
O b l 2
O d a 14
O d e 10
O d i 12
O d u 2
O e i 16
O e n 2
O e r 8
O e x 2
O f h 4
O f o 4
O f r 2
O g e 8
O h a 4
O h e 2
O h i 4
O i h 2
O i m 6
O i n 24
O i s 6
O k e 2
O k n 4
O k o 2
O l e 2
O m e 6
O m i 2
O m u 2
O n d 2
O n i 10
O s a 4
O s e 4
O s i 10
O s o 2
O s p 4
O s t 2
O t e 2
O u m 4
O u n 52
O v e 10
O v o 10
O w i 6
O w o 2
O w u 2
O z a 4
O z u 26
OAI U 4
OAb k 2
OAb s 2
OAg e 4
OAu s 6
OBe i 4
OBe l 2
OBe s 2
OC  d 2
ODA   18
ODA Z 2
OEC D 20
OEi n 2
OEm i 30
OEn t 2
OEr k 2
OF  g 2
OFI N 2
OGR E 10
OGe n 2
OGu t 2
OHO M 2
OIC   2
OIn i 6
OJ  u 2
OKo m 2
OKo n 8
OLA F 10
OM    2
OM  D 2
OM  a 2
OM  d 4
OM  h 2
OMA   2
OMA K 2
OMB r 2
OME N 2
OMa r 4
OMi t 4
ONE S 10
ONT E 16
ONU C 4
OP  k 2
OPA   2
OPL E 4
OPa n 2
OPo l 2
OPr o 2
OR  L 2
ORC H 2
ORD A 2
ORL i 2
ORT r 2
ORa d 2
ORa h 2
ORe d 4
ORe g 2
OS  E 8
OS  G 8
OS  b 6
OS  d 4
OS  e 4
OS  g 4
OS  h 2
OS  i 16
OS  k 2
OS  m 2
OS  u 26
OSA n 2
OSH A 8
OSS y 6
OSU R 2
OSZ E 14
OSp e 8
OSt a 4
OSt r 2
OTa g 2
OV    2
OV  k 2
OVA   2
OVe r 16
OVo r 4
OX  a 4
OX  d 2
OX  s 4
OX  z 2
Oar m 2
Oas e 2
Ob  d 2
Ob  e 8
Ob  u 4
Oba m 4
Obd a 2
Obe r 136
Obg l 14
Obh u 2
Obj e 18
Obl a 2
Obl i 2
Obs c 4
Obs t 18
Obw o 132
Ode r 24
Oet t 28
Off e 74
Off i 4
Oft   2
Oft m 2
Ohn e 38
Okt o 60
Old i 4
Oli g 10
Oli v 2
Oll i 8
Oly m 2
Omb u 2
One S 2
Onl i 36
Ope l 2
Ope n 2
Ope r 10
Opf e 120
Opp o 74
Opt i 102
Opt o 2
Ora n 4
Orb n 2
Orc h 2
Ord n 102
Org a 486
Ori e 22
Ori g 2
Ors a 2
Ort   82
Ort e 26
Ort u 2
Orv   2
Osa m 6
Osc a 2
Osk a 2
Osm a 6
Oss e 2
Ost   6
Ost S 2
Ost b 2
Ost e 88
Ost g 4
Ost j 2
Ost t 2
Oto p 2
Oul d 2
Out S 2
Out p 2
Out s 4
Ouz k 2
Ove r 4
Own e 2
Oze a 20
P     4
P   V 2
P   d 4
P   g 2
P   s 2
P   u 2
P A L 2
P A l 2
P B e 2
P D a 2
P D e 2
P D i 8
P E K 2
P E i 2
P E s 2
P F o 2
P F r 2
P I n 2
P K a 2
P L i 4
P M e 2
P R e 2
P W e 2
P W i 4
P a b 2
P a l 18
P a m 4
P a n 12
P a r 2
P a u 36
P b a 4
P b e 32
P b i 22
P b r 2
P b z 2
P d a 6
P d e 52
P d i 32
P d r 2
P d u 4
P e i 26
P e n 2
P e r 20
P f e 8
P f f 2
P f i 2
P f l 2
P f o 2
P f r 24
P g e 26
P g i 2
P h a 6
P h e 8
P h i 10
P i h 2
P i m 14
P i n 26
P i s 26
P j e 2
P k e 2
P k n 4
P k o 4
P l e 2
P l g 2
P m e 4
P m i 12
P m s 2
P m u 14
P n a 14
P n i 18
P n o 10
P n t 2
P o d 4
P p o 2
P p r 2
P r u 2
P s c 2
P s e 10
P s i 4
P s o 16
P s p 2
P s t 2
P u m 4
P u n 66
P v e 4
P v o 6
P w a 4
P w e 12
P w i 2
P w r 2
P w u 2
P z u 18
P z w 14
PA  E 2
PA  S 2
PA  b 2
PA  e 6
PA  s 2
PA  u 6
PA  v 2
PAS   2
PAn s 2
PAu s 2
PB  p 2
PBe r 2
PDe l 2
PE    2
PEF r 12
PEO P 4
PEU   2
PEi n 2
PFA   4
PFr a 6
PG  d 2
PG  w 2
PGe s 8
PHN E 2
PHV   4
PHa u 12
PI  a 2
PI  u 2
PIG S 2
PIZ i 2
PLE   4
PLn d 2
PMi s 2
PMi t 2
POA I 4
POM A 2
PP  K 2
PPE   2
PPE F 12
PPF r 2
PPV   2
PPr o 4
PR  s 2
PRO G 10
PRe f 4
PRe g 2
PRi c 6
PS  D 4
PS  G 4
PS  W 4
PS  a 2
PS  b 2
PS  d 8
PS  e 2
PS  i 2
PS  k 4
PS  s 2
PS  t 2
PSD i 2
PSF l 2
PSS c 2
PSS i 2
PSS t 2
PSS y 6
PSt a 4
PSy s 2
PV  b 2
PVV   2
PVe r 2
PWa c 4
Paa r 4
Pac k 8
Pac t 2
Pak e 230
Pak i 188
Pak s 4
Pak t 42
Pal e 14
Pal s 28
Pan d 10
Pan e 4
Pan i 20
Pan n 2
Pan z 2
Pao l 2
Pap a 8
Pap i 36
Pap s 4
Par a 42
Par i 20
Par k 32
Par l 3048
Par o 2
Par t 712
Par v 2
Pas c 2
Pas d 2
Pas s 22
Pat   2
Pat e 48
Pat i 14
Pat r 4
Pau l 4
Pau s 6
Paw l 2
Pax m 2
Paz i 14
Pbe r 4
Pda g 2
Pea n 2
Pec h 2
Pee r 14
Pek i 6
Pel c 2
Pel z 24
Pen d 2
Pen s 16
Per f 6
Per i 22
Per s 402
Per v 2
Pes t 4
Pet e 10
Pet i 44
Pet r 2
Pfa d 4
Pfa l 2
Pfe i 22
Pfe n 2
Pfe r 2
Pfl a 22
Pfl e 24
Pfl i 98
Pfu n 2
Pha r 12
Pha s 104
Phi l 6
Phn o 36
Phr a 6
Phy t 2
Pic a 2
Pie b 6
Pie p 14
Pie r 8
Pie t 10
Pil o 26
Pil z 4
Pin g 6
Pio n 2
Pip e 4
Pir a 8
Pis t 4
Pit t 8
Pla c 2
Pla g 2
Pla k 2
Pla n 180
Pla t 78
Pla y 2
Ple i 4
Ple n 134
Pln d 8
Pln e 46
Plt z 10
Plu r 16
Plu s 12
Pnt e 2
Poc z 2
Pod i 4
Pol a 2
Pol e 88
Pol i 928
Pol l 56
Pol n 2
Poo l 6
Pop u 26
Por n 2
Por t 166
Por z 2
Pos a 2
Pos i 290
Pos s 6
Pos t 42
Pot e 220
Pot o 16
Pou p 2
Pow e 6
Pra c 2
Pra g 8
Pra k 124
Pra m 4
Pra n 2
Pra x 124
Pre d 4
Pre i 198
Pre k 2
Pre m 40
Pre s 108
Prf   4
Prf b 10
Prf e 26
Prf k 18
Prf l 2
Prf m 2
Prf s 2
Prf t 2
Prf u 184
Prf v 4
Pri d 6
Pri e 2
Pri m 12
Pri n 124
Pri o 360
Pri s 2
Pri v 116
Prm i 2
Prn c 36
Pro K 10
Pro b 1160
Pro d 510
Pro f 72
Pro g 942
Pro j 434
Pro k 2
Pro l 2
Pro m 2
Pro p 10
Pro s 2
Pro t 178
Pro v 34
Pro z 238
Prp a 4
Prr o 2
Prs e 22
Prs i 1456
Prv e 44
Prz e 26
Prz i 4
Pse u 4
Pss e 2
Pub l 6
Pue r 2
Puf f 2
Pun k 464
Pur i 2
Put i 2
Pyr a 2
Pyr e 6
QLS   2
Qai d 6
Qua d 4
Qua i 2
Qua l 388
Qua n 12
Qua r 16
Que c 6
Que e 2
Que l 58
Que r 18
Qui n 6
Qui s 2
Quo t 16
R     4
R   E 4
R   d 2
R   t 2
R   v 2
R A u 2
R D a 4
R D e 4
R D i 10
R E i 2
R E n 2
R E s 2
R F o 2
R F r 2
R H a 2
R H e 2
R H i 2
R I m 2
R L i 2
R M a 2
R M e 2
R R e 2
R R u 2
R S c 4
R a l 2
R a n 18
R a u 36
R b e 46
R b i 2
R b r 2
R d a 10
R d e 14
R d i 18
R e i 4
R e n 4
R e r 10
R e t 2
R e x 2
R f e 8
R f r 68
R g e 24
R h a 8
R h e 2
R i m 16
R i n 12
R i s 8
R j e 8
R j h 2
R k a 2
R k o 2
R m g 2
R m i 4
R m s 2
R m u 4
R n a 6
R n i 6
R o d 6
R p r 22
R s c 2
R s e 4
R s i 2
R s o 12
R s t 10
R u m 4
R u n 44
R v e 2
R v o 14
R w a 4
R w e 8
R w i 4
R w o 4
R w u 2
R z u 18
RA  a 2
RA  h 2
RA  n 2
RA  u 2
RA  w 2
RAB I 2
RAG r 2
RAS F 2
RAT O 2
RB  u 2
RC  a 2
RC  e 2
RC  u 4
RC  z 2
RCH   2
RD  I 4
RD  d 2
RDA N 2
RE  D 2
RE  E 2
RE  d 18
RE  e 4
RE  u 22
REA C 4
REA u 10
REB e 2
REG   8
REG D 2
REG P 2
REG T 2
REI T 12
REM E 2
REM i 2
REN E 4
RES A 2
RES S 10
REZ u 2
RF  i 2
RFI D 2
RFO   4
RFr a 14
RFu s 2
RGa r 2
RGe n 4
RIA u 2
RIC   2
RIC S 6
RIP S 2
RLi b 2
RME S 2
RO  V 4
RO  W 2
RO  b 2
RO  d 4
RO  u 4
ROG R 10
ROM   6
ROM A 2
RON E 10
RON T 16
ROS U 2
ROr g 4
RP  M 2
RP  a 8
RP  b 10
RP  d 4
RP  e 6
RP  f 4
RP  g 6
RP  i 10
RP  k 2
RP  m 2
RP  n 4
RP  s 2
RP  u 2
RP  w 2
RPa k 2
RPl a 2
RPr o 2
RRE G 2
RSF F 2
RSP   2
RSP G 4
RTE M 2
RTK r 2
RTr u 2
RUn t 2
Rab a 14
Rac h 2
Rad   2
Rad a 4
Rad f 4
Rad i 18
Rah i 8
Rah m 988
Rai n 2
Raj a 6
Raj o 10
Rak e 8
Ral   2
Ram a 4
Ran d 76
Ran g 4
Rap k 2
Rap t 2
Rar e 2
Ras c 2
Ras m 2
Ras s 26
Rat   932
Rat e 622
Rat g 6
Rat i 348
Rat s 234
Rau   2
Rau b 4
Rau m 378
Rau s 4
Rav a 2
Raz a 2
Raz z 2
Rck b 16
Rck e 24
Rck f 2
Rck g 42
Rck h 4
Rck k 24
Rck n 6
Rck r 2
Rck s 52
Rck t 12
Rck v 56
Rck z 30
Rde r 74
ReN a 4
Rea k 168
Rea l 110
Reb e 6
Rec h 2736
Rec o 2
Rec y 12
Red a 2
Red e 102
Red i 20
Red n 62
Red u 92
Ree d 4
Ref e 100
Ref l 2
Ref o 346
Reg a 2
Reg e 456
Reg i 2006
Reg l 2
Reg r 6
Reg u 162
Reh n 28
Rei c 34
Rei h 258
Rei l 2
Rei n 10
Rei s 60
Rek a 10
Rek o 4
Rek r 2
Rel a 2
Rel e 8
Rel i 16
Rem e 10
Ren a 18
Ren d 6
Ren n 6
Ren o 2
Ren t 40
Rep a 8
Rep o 2
Rep r 34
Rep u 170
Req u 4
Rer u 2
Res e 20
Res i 34
Res o 38
Res p 40
Res s 424
Res t 70
Res u 10
Ret t 80
Reu l 14
Rev i 40
Rev o 28
Rev u 2
Rey n 2
Rez e 26
Rhe i 4
Rhe t 10
Rhn e 16
Rhy t 2
Rib b 2
Ric h 1058
Rie s 2
Rig h 2
Rin a 6
Rin d 8
Rin g 6
Ris i 246
Ris t 2
Riv a 6
Riv e 14
Rme r 2
Rnd e 2
Roa m 2
Rob   2
Rob b 26
Rob e 6
Rob i 2
Rob u 2
Roc h 2
Roc k 4
Rod u 4
Roh d 2
Roh l 6
Roh m 4
Roh s 50
Roi t 2
Rol l 658
Rom   14
Rom I 2
Rom a 46
Rom e 2
Rom p 4
Rom s 2
Ron a 2
Ros a 2
Ros b 12
Ros e 4
Ros s 2
Rot a 2
Rot e 8
Rot h 2
Rot s 2
Rou e 2
Rou s 2
Rou t 2
Row o 2
Rst u 4
Rte n 2
Rub e 2
Rub r 14
Ruc k 4
Rud e 4
Ruf   22
Ruf e 4
Rug b 2
Rug g 2
Ruh e 20
Ruh m 2
Rui n 8
Rum e 4
Rum l 4
Rum n 318
Run   2
Run d 52
Rus s 420
Rut t 2
Ryz h 2
Rze c 2
S D a 2
S D e 4
S E u 8
S G a 2
S G e 8
S G l 6
S I   2
S I I 6
S L u 8
S T e 2
S W e 2
S W i 2
S a b 2
S a l 2
S a m 2
S a n 4
S a u 6
S b a 2
S b e 16
S b i 2
S d a 8
S d e 12
S d i 2
S d u 6
S e f 2
S e i 16
S f r 2
S g a 2
S g e 6
S g i 2
S h a 6
S i m 4
S i n 6
S i s 10
S k o 6
S m u 4
S n d 2
S n i 2
S s e 2
S s i 4
S s o 2
S t h 2
S u m 4
S u n 56
S v e 12
S v o 2
S w e 2
S w i 6
S z u 6
SA    4
SA  C 4
SA  E 2
SA  I 2
SA  K 2
SA  V 2
SA  W 4
SA  a 12
SA  b 4
SA  d 28
SA  e 8
SA  f 8
SA  g 4
SA  h 2
SA  i 14
SA  l 2
SA  m 2
SA  n 4
SA  s 10
SA  u 24
SA  v 2
SA  w 6
SA  z 10
SAA   2
SAD C 12
SAR   10
SAn w 16
SAr b 2
SAu f 10
SB  E 2
SB  e 4
SBA   36
SBA K 2
SBe h 6
SCO b 4
SD  D 2
SD  I 2
SD  a 2
SD  d 2
SD  g 2
SD  h 2
SD  i 4
SD  m 2
SD  p 4
SD  u 2
SD  v 2
SDF r 18
SDS t 2
SDi e 4
SEA E 2
SEA N 2
SEK   22
SES A 10
SET P 2
SEm p 2
SF    2
SF  A 2
SF  a 2
SF  d 12
SF  e 2
SF  f 4
SF  i 2
SF  k 4
SF  m 2
SF  s 2
SF  u 10
SF  v 4
SF  z 2
SFF   4
SFP r 2
SFl e 2
SGe w 2
SHA   8
SHe i 2
SIC A 4
SIR E 4
SIS   26
SIS M 2
SKo n 2
SM  d 2
SM  e 2
SM  k 2
SM  o 2
SM  w 2
SMA R 2
SME s 2
SMI C 2
SMa r 2
SMi l 2
SNP R 2
SP    8
SP  A 2
SP  B 2
SP  E 2
SP  W 2
SP  a 6
SP  b 4
SP  d 8
SP  e 2
SP  g 2
SP  i 6
SP  n 2
SP  u 8
SP  w 6
SP  z 2
SPG   4
SPS   2
SPa t 2
SPr o 6
SR  E 2
SRB   2
SRE G 12
SRa k 2
SRe g 4
SS  G 2
SS  T 2
SS  a 8
SS  b 4
SS  d 8
SS  e 6
SS  g 4
SS  h 2
SS  i 2
SS  m 2
SS  s 4
SS  u 12
SS  v 12
SS  w 6
SS  z 4
SSA n 14
SSA u 10
SSI C 4
SSP r 6
SSS y 8
SST e 2
SSb e 2
SSc h 2
SSi g 2
SSt a 4
SSy s 24
ST  l 2
ST  s 4
ST  u 2
ST  w 2
STI M 2
STe c 2
STe i 2
SU  u 2
SUA b 2
SUR   2
SUR E 16
SVA C 6
SVG   2
SVP   38
SVP E 2
SVP M 2
SVU   14
SVU D 2
SVU G 2
SVe r 2
SWP   14
SZE   14
Saa l 4
Saa r 2
Sab i 4
Sac h 242
Sac k 4
Sad   4
Sad d 2
Sag e 14
Sai d 2
Sai n 2
Sai s 2
Saj j 4
Sal a 8
Sal e 4
Sal i 2
Sal m 2
Sal v 12
Sam e 8
Sam m 34
Sam s 4
San c 32
San d 6
San i 10
San k 138
San n 2
San t 8
Sap i 2
Sar a 78
Sar d 2
Sar g 2
Sar k 20
Sar n 4
Sar y 2
Sat e 138
Sat z 20
Sau b 2
Sau d 6
Sau e 2
Sav a 2
Sav e 2
Sbe z 2
Sch a 748
Sch d 30
Sch e 666
Sch i 164
Sch l 694
Sch m 82
Sch n 42
Sch o 20
Sch r 536
Sch t 26
Sch u 1078
Sch w 630
Sco r 18
Scr e 12
Sd  a 2
SdG e 2
SdK o 2
SdK u 2
SdS p 2
SdS u 2
Sda f 2
Sda s 2
Sde n 30
Sde u 10
Sdg r 2
Sdi r 2
Sdi t 4
Sdk o 8
Sdl i 2
Sdo s 6
Sds u 162
Sec h 16
See   26
See b 10
See g 16
See h 2
See l 6
See n 12
See o 2
See r 8
See s 2
See v 14
See w 4
See z 2
Seg m 6
Seg r 2
Seh e 6
Seh r 16
Sei   2
Sei d 2
Sei e 10
Sei f 2
Sei l 2
Sei m 2
Sei n 34
Sei t 274
Sej m 2
Sek r 12
Sek t 396
Sek u 24
Sel b 106
Sel e 2
Sel l 8
Sel t 10
Sem e 46
Sem i 6
Sem p 2
Sen a 8
Sen d 12
Sen k 48
Sen s 8
Sen t 2
Sep p 2
Sep t 56
Ser b 24
Ser g 2
Ser r 6
Ser v 8
Set   2
Set z 4
Seu c 4
Sev e 20
Sex u 2
Sex y 2
Sey c 82
Sha a 2
Sha k 2
Sha l 2
Sha m 2
Sha n 2
Sha r 10
Sho p 6
Sib i 6
Sic h 1418
Sid i 2
Sie   2246
Sie b 38
Sie g 14
Sie h 2
Sig n 114
Sil i 2
Sil v 2
Sim o 4
